name=gh g 
36.8 127 16
38.9 150 15
36.3 107 4
37.9 134 14
36.6 149 9
38.9 110 14
38.2 71 5
38.9 98 6
37.5 142 4
37.0 136 8
38.0 107 9
37.4 138 5
38.5 62 4
36.2 117 8
37.1 109 12
21:59:04.797003800 37.0 75 5
21:59:05.801464200 37.0 75 5
21:59:06.792854 37.1 75 5
21:59:07.801407600 37.1 75 5
21:59:08.799147100 37.0 76 5
21:59:09.804316300 37.1 75 5
21:59:10.798362500 37.1 75 5
21:59:11.794966800 37.1 75 5
21:59:12.794330400 37.1 76 5
21:59:13.803243600 37.2 76 5
21:59:14.792989 37.2 76 5
21:59:15.799465900 37.2 75 5
21:59:16.793947600 37.3 74 5
23:29:59.484306700 36.6 66 7
23:30:00.493072800 36.6 66 7
23:30:01.487159100 36.6 67 7
23:30:02.484104400 36.7 66 7
23:30:03.494081600 36.7 66 7
23:30:04.492823700 36.8 65 7
23:30:05.484754200 36.7 66 7
23:30:06.479856900 36.7 66 7
23:30:07.490952300 36.8 66 7
23:30:08.483556400 36.8 66 7
23:30:09.493242800 36.8 65 7
23:30:10.492049100 36.7 65 7
23:30:11.486074100 36.7 66 7
23:30:12.482833900 36.7 66 7
23:30:13.491887300 36.6 66 7
23:30:14.485604400 36.7 65 7
23:30:15.488751900 36.7 65 7
23:30:16.483661400 36.6 64 7
23:30:17.493425300 36.5 63 7
23:30:18.488584600 36.5 63 7
23:30:19.481440800 36.5 62 7
23:30:20.486502700 36.5 62 7
23:30:21.494137200 36.4 61 7
23:30:22.486510700 36.4 61 7
23:30:23.481948900 36.5 61 7
23:30:24.480157 36.4 62 7
23:30:25.490906700 36.5 62 7
23:30:26.485104700 36.4 62 7
23:30:27.480159700 36.4 61 7
23:34:17.594990500 37.2 64 9
23:34:18.604929400 37.3 63 9
23:34:19.597968300 37.2 64 9
23:34:20.604049 37.2 65 9
23:34:21.597425300 37.3 65 9
23:34:22.606965100 37.2 66 9
23:34:23.606042900 37.3 66 9
23:34:24.607195900 37.2 66 9
03:00:51.750551600 37.2 69 8
03:00:52.748790900 37.2 69 8
03:00:53.757567900 37.2 69 8
03:00:54.750761900 37.2 69 8
03:00:55.760749600 37.1 69 8
03:00:56.754907700 37.1 68 8
03:00:57.750656300 37.1 68 8
03:00:58.753804800 37.2 68 8
03:00:59.745929500 37.2 67 8
03:01:00.754271200 37.1 66 8
03:01:01.758742 37.0 65 8
03:01:02.751919 36.9 64 8
03:01:03.759254600 36.8 65 8
03:01:04.752959900 36.8 64 8
03:01:05.751401 36.8 63 8
03:01:06.760916700 36.7 63 8
03:01:07.750864200 36.8 62 8
03:01:08.757795700 36.8 61 8
03:01:09.750626500 36.9 62 8
